layer_id,layer_name
0,1
1,125
2,152
3,2
4,200
5,201
6,206
7,207
8,208
9,21
10,210
11,211
12,22
13,23
14,235
15,251
16,253
17,26
18,262
19,3
20,31
21,32
22,33
23,361
24,361
25,383
26,39
27,4
28,41
29,42
30,43
31,46
32,49
33,5
34,51
35,52
36,524
37,524
38,526
39,53
40,56
41,611
42,62
43,63
44,636
45,637
46,639
47,640
48,642
49,650
50,658
51,69
52,704
53,705
54,706
55,710
56,72
57,73
58,76
59,79
60,82
61,83
62,89
63,93
64,96
65,C11
66,C13
67,C14
68,C15
69,N11
70,N12
71,N13
72,N14
73,N15
74,N16
75,N17
76,N18
77,S-91
78,S-92
